account,broker_name,company_name,listing_url
46648.0,terri breindel,happy valley business brokers,https://happyvalleybrokers.com/current-listings/
46981.0,leeann schumacher,harcourts desert homes,https://harcourtsdeserthomes.com/business-listings/
49913.0,steve mcconaghy,first choice business brokers columbus,https://columbus.fcbb.com/businesses-for-sale
50184.0,dave raleigh,first choice business brokers - west charlotte,https://westcharlotte.fcbb.com/businesses-for-sale
47684.0,josh rosenwald,anchor business advisors,https://anchorba.com/listings/
49200.0,travis webb,panhandle business brokers,https://panhandlebrokers.com/
1086.0,"matt coletta, lcbb, lcbi, m&ami",m&a business advisors,https://mabusinessadvisors.com/businesses-for-sale/
49329.0,shari mcguire,bizbroker+ / realty one group choice,https://www.bizbrokerplus.com/businessforsale/
49239.0,"liquor license sales pa-nj, llc","liquor license sales pa-nj, llc.",https://www.liquorlicensepanj.com/featured-listings/
46649.0,g e o buy sell restaurants gastronomy estates organization,geo,https://buysellgeo.com/listings/
49571.0,mitch mcginley,boutique fitness broker,https://boutiquefitnessbroker.com/businesses-for-sale
46837.0,cam iwasa,pdf development llc,https://www.pdf-usa.com/for-sale
49484.0,yasmine acebo,bridge point brokers,https://bridgepointbrokers.com/building-and-construction/
48084.0,clifford bramble,sellmorerestaurants.com,https://www.sellmorerestaurants.com/restaurants-for-sale.html
46801.0,katrina faber,gile business brokerage team,https://www.gilecre.com/business-brokerage-active-listings
47313.0,david berman,tower business brokers inc,https://towerbusinessbrokers.com/#BusinessForSale
47302.0,deborah byon,deborah byon investment realty,https://www.bizben.com/sp/1687812
50107.0,mike goldstein,keate partners,https://www.keatepartners.com/business-listings/
47971.0,shannon mcnichol,nichol city business brokers,https://www.nicholcitybusinessbrokers.com/listings.html
48427.0,2782761 inc.,ontario commercial group,https://www.ontario-commercial.com/businesses-for-sale/
48718.0,victoria collier,quid pro quo law,https://quidproquolaw.com/law-firm-listing/
49834.0,caroline harabedian,re-search concept,https://listyourhomesocal.com/business-for-sale
49443.0,team unbroker,unbroker,https://flow.unbroker.com/
50100.0,justin gaspari,coastal business advisors,https://coastaladvisors.ca/listings/
49733.0,adriana cowart,chisca group,https://www.chiscagroup.com/businesses-for-sale/
48522.0,matt evans,vestiary sales and consulting,https://businessesforsale.nebba.com/texas/bulverde/landscaping-and-yard-service-businesses-for-sale/
47792.0,kevin layton,apex business advisors,https://www.kcapex.com/business-listings/?status=active
49505.0,terry mcdonald,first choice business brokers colorado springs,https://thesprings.fcbb.com/businesses-for-sale?sort=FeaturedLocalBusinesses&page=1
46757.0,edward laub,"legacy advisors, llc/ keller williams commercial",https://legacyadvisors.info/listings-1
48867.0,daniel vasconcelos,first choice business brokers - lake nona,https://lakenona.fcbb.com/businesses-for-sale?location=Florida&sort=FeaturedLocalBusinesses&page=1
49040.0,danilo aquino,florida connexion business brokers,https://floridaconnexionbusiness.com/buy/featured-businesses-for-sale/
48376.0,jesse wallace,llg business brokers,https://businessbrokersllg.com/listings
48639.0,bob van vleet,marlin group,https://www.marlingroup.com/restaurants-for-sale-portland/
49644.0,pedro rojas,platano advisors,https://platanoadvisors.com/activelistingns-page
47091.0,scott blackwood,vista business group,https://vistabusinessexchange.com/listings
47922.0,todd smith,corbett business sales and acquisitions,https://corbettbusinessgroup.com/listings/
49204.0,brian sauvageau,first choice business brokers chicago west,https://chicagowest.fcbb.com/businesses-for-sale
47731.0,danny tuggle,laundry buyers llc,https://laundrybuyers.com/listings/
,jimmy yoon,team sprit real estate,https://www.teamspiritrealty.com/business-opportunities
46624.0,jean-philippe truchement,"mergent business brokers, llc",https://mergentbb.com/featured-listing/
47078.0,yvette criner,texas business for sale l.l.c.,https://txbusinesses4sale.com/listings-for-sale
49198.0,karina digiuni,interbloom group,https://www.interbloomgroup.com/business-listings/
49941.0,athari advisors,athari advisors,https://athariadvisors.com/listings-1997
49441.0,randy woodruff,bridge point business brokers,https://bridgepointbusinessbroker.com/business-listings/
49057.0,george st pierre,"contango investments, inc.",https://contangoinvestments.com/businesses-for-sale/
48246.0,abhimanyu bhalla,corporate business brokers,https://cbb-tristate.com/web/business
46490.0,mike chapin,first class business sales,https://firstclassgroup.myrealestateplatform.com/business-sales/
50064.0,steven ducharme,gulf coast business acquisitions & sales,https://www.gulfcoastbas.com/listings
47760.0,jordan copertino,juels business intermediary's,https://listings.bizequity.com/south-carolina/horry-county/other-wholesalers-and-distributors-for-sale/
49602.0,murali barathi,krea business,https://kreabusiness.com/businessforsale/
46939.0,dean jones,mass business brokers / tax force,https://www.tax-force.com/buy-a-business
49596.0,richard gadberry,three oaks advisory services,https://threeoaksbrokerage.com/listing-2/
49157.0,ahmed rana,usa business brokerage,https://www.businessbroker.net/listings/bfs_result.aspx?By=AdvancedSearch&r_id=33&ind_id=0&ask_price_l=&ask_price_h=&map_id=12&lcity=true&keyword=&lst_no=&time=0&bprice=0&fresale=0&ownerfi=0&county_id=0
49122.0,forge business brokerage,forge business brokerage,https://www.forgebb.com/listings
48129.0,robyn knox,robyn knox business broker & advisor,https://robynknox.co/businesses/
49263.0,scott todd,todd business solutions of the carolinas,https://toddbusinesssolutions.com/listings/
48568.0,jonathan vance,brubaker advisors,https://brubakeradvisors.com/listings
50090.0,steve smith,dental 360 advisors,https://dental360advisors.com/listings
49609.0,don taylor,foresight business brokers,https://foresightbusinessbrokers.com/businesses-for-sale/
47346.0,john gleason,genuine business advisors,https://www.genuinebusinessadvisors.com/listings/
49089.0,daniel diaz,"midtown realty international, inc,",https://buygasstations.com/for-sale-business-only
48984.0,joe hochman,northwest business brokers llc,https://nwbusinessbrokers.com/businesses-for-sale/
48226.0,h. paul lawrence,"pinnacle partner services, llc",https://pinnaclepartnerservice.com/routes-for-sale
48646.0,vlad rascanu,the friendly brokers,https://thefriendlybrokers.com/businesses-for-sale/
49839.0,michael curtin,winter park capital mb,https://wpbizbrokers.com/buy-a-business/#all-business-list
50048.0,michael thomas,first choice business brokers - northeast ohio,https://fcbb.com/listing-property/construction-northeast-ohio-profitable-established-mold-remediation-construction-business-241-24182#
49300.0,mark vanderwal,invictus,https://invictusweb.net/opportunities/
48526.0,rory mcdermott,mg business brokers,https://www.mgbb-nc.com/businesses-for-sale
47230.0,roger pinnix,"new generation realty & investments, inc.",https://childcaredirect.com/current-offerings/
50279.0,adam post,the post brokerage group,https://www.business-team.com/buy-a-business/search-results.aspx?lid=all
