account,broker_name,company_name,listings_url,city,state,active_listings,leaderboard_score
2086.0,ron cervelli,regal consulting corp.,https://regalconsultants.com/businesses-for-sale-2/,bridgewater,nj,32.0,114.0
45443.0,justin slocum,agency for sale,https://agencyforsale.com/listings?search%5Bbroker_listings%5D=0&search%5Bstatus%5D=&search%5Bfranchise_id%5D=&search%5Bstate%5D=&search%5Bmin_price%5D=&search%5Bmax_price%5D=&search%5Bmin_premium%5D=&search%5Bmax_premium%5D=&button=,heath,tx,31.0,112.0
40190.0,raj golee,biz depot brokers,https://biz-depot.co/properties-standard-list/,california,ca,30.0,111.0
3191.0,sarah grossman,baystate business brokers,https://www.baystatebusinessbrokers.com/businesses-for-sale-in-ma-nh-ct-ri/,needham,ma,26.0,111.0
27401.0,"miriam liang, cbi",route advisors,https://www.routeadvisors.com/available-routes/,atlanta,ga,25.0,110.0
46305.0,chris pramber,prambernow,https://businessesforsale.nuwireinvestor.com/business-broker/chris-pramber/prambernow/38206/,summerville,sc,30.0,110.0
26776.0,charles howard,tangent brokerage,https://tangentbrokerage.com/search/,naperville,il,28.0,106.0
1687.0,sasa milosevic,manhattan.biz,https://www.manhattan.biz/,manhattan beach,ca,24.0,106.0
33886.0,lori feingold,"peak business brokers, llc",https://peakbusinessbrokersllc.com/business-listings/,bedford,ny,26.0,105.0
39844.0,ps broker,ps broker,https://www.psbroker.com/property-category/all-veterinary-practices-for-sale/,brunswick,ga,27.0,104.0
15416.0,ronald b. gould,"excel business brokers usa, ltd.",https://www.excelbusinessbrokersusa.com/business-for-sale/,rochester,ny,25.0,104.0
15245.0,eric owens,app business brokers,https://www.appbusinessbrokers.com/buy/,nashua,nh,23.0,104.0
9576.0,"affordable business concepts, llc",affordable business concepts llc,"https://www.affordablebusinessconcepts.com/featured-list/ 

https://www.affordablebusinessconcepts.com/new-listing/",phoenix,az,27.0,104.0
8677.0,tim bullard,lake country advisors,"https://lakecountryadvisors.com/businesses-for-sale/main-street/

https://lakecountryadvisors.com/businesses-for-sale/ma/
",waukesha,wi,23.0,102.0
42194.0,robert marcarelli,pi business brokers,https://ctbusinessforsale.com/our-listings/,madison,ct,24.0,102.0
5557.0,amy ayeley,great atlanta realty,https://bizbuyandsellga.com/our-listings/,duluth,ga,25.0,102.0
40900.0,steve tsoris,"newleaf business brokerage, llc",https://newleafbrokerage.com/bb/businesses-for-sale/,charlotte,nc,24.0,102.0
22210.0,bill boyd,"boyd brokerage associates, llc","https://www.bizbuysell.com/business-broker/bill-boyd/boyd-brokerage-associates-llc/15534/

https://www.loopnet.com/commercial-real-estate-brokers/profile/bill-boyd/g68e2bwb#listings-section",cary,nc,24.0,102.0
31650.0,tom brubaker,tam-bay mergers & acquisitions,https://www.tambaymergers.com/ - under buying a business tab,tampa,fl,23.0,102.0
40259.0,ravi jagtiani,ravi jagtiani / jagtiani group with intero commercial,"https://www.crexi.com/profile/ravi-jagtiani-ravijag

https://www.bizbuysell.com/business-broker/ravi-jagtiani/ravi-jagtiani-jagtiani-group-with-intero-commercial/32607/?bp_sreg=18&bp_cpg=2",san carlos,ca,25.0,102.0
3819.0,"brent bungard, broker",arthur berry & company,https://arthurberry.com/new-listings/,boise,id,22.0,100.0
34116.0,matthew baas,small business deal advisors,https://www.smallbusinessdeal.com/current-listings/,grand rapids,mi,21.0,100.0
39787.0,bay area business brokers,bay area business brokers,https://bayareabizbrokers.com/businesses-for-sale/,campbell,ca,25.0,100.0
